ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBGR,2019-08-01T00:00:00Z,11101,11101,166316.99999999997,119347.59999999884,52911.49999999991,4.766372398882976
SBGR,2019-09-01T00:00:00Z,10945,10945,162254.70000000062,118052.699999999,48216.74,4.405366834170854
SBGR,2019-10-01T00:00:00Z,11059,11059,163757.8000000005,116422.8999999985,52863.68,4.780150103987703
SBGR,2019-11-01T00:00:00Z,10874,10874,169159.39999999976,119568.09999999816,53213.24999999998,4.8936224020599575
SBGR,2019-12-01T00:00:00Z,12237,12237,216912.6000000006,140960.89999999758,81652.59000000011,6.672598676146124
SBGR,2020-01-01T00:00:00Z,11188,11188,206571.79999999958,131340.99999999814,81753.09000000024,7.307212191633916
SBGR,2020-02-01T00:00:00Z,9825,9825,165065.99999999997,113798.49999999888,53698.93000000002,5.465539949109417
SBGR,2020-03-01T00:00:00Z,7831,7831,110625.49999999994,84544.6,28959.22000000009,3.6980232409654055
SBGR,2020-04-01T00:00:00Z,1257,1257,15228.29999999999,14094.199999999977,2039.2399999999973,1.6223070803500377
SBGR,2020-05-01T00:00:00Z,1501,1501,19469.900000000023,17922.700000000008,2619.050000000001,1.7448700866089282
SBGR,2020-06-01T00:00:00Z,1844,1844,23578.40000000004,20406.400000000012,4075.6100000000006,2.2102006507592193
SBGR,2020-07-01T00:00:00Z,2875,2875,37934.499999999956,30897.100000000082,8137.969999999992,2.8305982608695626
SBGR,2020-08-01T00:00:00Z,3897,3897,50002.29999999991,40084.59999999992,11113.670000000011,2.8518527072106776
SBGR,2020-09-01T00:00:00Z,4796,4796,61819.2,50502.99999999969,12767.990000000003,2.662216430358633
SBGR,2020-10-01T00:00:00Z,5854,5854,80385.09999999979,62914.19999999936,19090.87000000004,3.261166723607796
SBGR,2020-11-01T00:00:00Z,6266,6266,83875.6000000001,65395.399999999594,20002.40999999995,3.1922135333546042
SBGR,2020-12-01T00:00:00Z,7373,7373,107691.90000000008,82578.99999999907,27072.84000000004,3.6718893259188987
SBGR,2021-01-01T00:00:00Z,7344,7344,106613.79999999961,82309.899999999,26371.829999999973,3.5909354575163364
SBGR,2021-02-01T00:00:00Z,5617,5617,76968.20000000014,60602.299999999515,18011.41999999997,3.2065907067829746
SBGR,2021-03-01T00:00:00Z,4742,4742,64545.60000000009,52065.49999999992,14199.939999999975,2.9945044285111715
SBGR,2021-04-01T00:00:00Z,3799,3799,49384.60000000005,39862.400000000045,10790.980000000009,2.8404790734403815
SBGR,2021-05-01T00:00:00Z,4731,4731,65420.8,52633.59999999984,14253.090000000031,3.0127013316423654
SBGR,2021-06-01T00:00:00Z,5455,5455,73547.50000000003,57836.299999999566,17109.65999999991,3.136509624197967
SBGR,2021-07-01T00:00:00Z,7128,7128,100691.00000000019,75601.09999999942,26783.39000000015,3.7574901795735336
SBGR,2021-08-01T00:00:00Z,6733,6733,90458.79999999989,67864.89999999966,24093.69000000008,3.578447942967485
SBGR,2021-09-01T00:00:00Z,7138,7138,98802.40000000031,74128.59999999953,26179.12999999997,3.6675721490613573
SBGR,2021-10-01T00:00:00Z,7363,7363,102222.7000000002,76824.39999999938,27268.28999999997,3.703421159853317
SBGR,2021-11-01T00:00:00Z,7956,7956,119575.19999999985,86380.39999999895,35643.000000000015,4.480015082956261
SBGR,2021-12-01T00:00:00Z,8760,8760,130848.20000000024,92060.69999999893,41294.04000000018,4.713931506849336
SBGR,2022-01-01T00:00:00Z,8282,8282,132208.10000000015,97014.5999999988,38061.15999999997,4.595648394107699
SBGR,2022-02-01T00:00:00Z,6988,6988,101236.30000000025,77289,26469.24000000001,3.7878133943903847
SBGR,2022-03-01T00:00:00Z,7633,7633,112438.40000000024,86219.19999999959,28970.11999999997,3.795377964103232
SBGR,2022-04-01T00:00:00Z,7193,7193,99462.30000000013,77714.79999999976,24630.110000000008,3.4241776727373847
SBGR,2022-05-01T00:00:00Z,7568,7568,112857.30000000015,88538.79999999952,27619.77999999995,3.649548097251579
SBGR,2022-06-01T00:00:00Z,7448,7448,108271.40000000007,81666.8999999995,29379.880000000037,3.9446670247046236
SBKP,2019-01-01T00:00:00Z,4700,4700,83924.90000000034,55436.29999999986,29636.56000000005,6.305651063829798
SBKP,2019-02-01T00:00:00Z,4387,4387,78455.69999999968,50678.79999999976,28619.969999999965,6.523813540004551
SBKP,2019-03-01T00:00:00Z,4587,4587,77795.10000000008,50275.59999999996,28285.41000000005,6.166429038587323
SBKP,2019-04-01T00:00:00Z,4539,4539,76889.69999999997,49621.30000000009,28002.899999999998,6.169398545935228
SBKP,2019-05-01T00:00:00Z,4666,4666,78197.79999999997,52192.90000000003,26779.570000000014,5.739299185597946
SBKP,2019-06-01T00:00:00Z,4495,4495,76634.9,50293.89999999994,27174.070000000094,6.045399332591789
SBKP,2019-07-01T00:00:00Z,4810,4810,80351.10000000002,52420.90000000014,28882.48000000005,6.004673596673607
SBKP,2019-08-01T00:00:00Z,4755,4755,67653.09999999986,50073.40000000019,20040.050000000047,4.214521556256582
SBKP,2019-09-01T00:00:00Z,4461,4461,59868.30000000006,47113.30000000019,15549.070000000002,3.4855570499887922
SBKP,2019-10-01T00:00:00Z,4626,4626,63706.30000000013,48430.70000000033,17752.810000000012,3.837615650670128
SBKP,2019-11-01T00:00:00Z,4266,4266,60849.79999999982,46464.800000000185,16551.88,3.8799531176746367
SBKP,2019-12-01T00:00:00Z,4202,4202,58207.100000000064,46274.90000000007,14173.65999999999,3.3730747263207976
SBKP,2020-01-01T00:00:00Z,4122,4122,59635.199999999946,47524.00000000014,14225.430000000026,3.4510989810771533
SBKP,2020-02-01T00:00:00Z,3762,3762,55981.70000000005,43644.00000000004,13974.610000000042,3.714675704412558
SBKP,2020-03-01T00:00:00Z,2793,2793,35672.099999999955,29235.900000000234,7966.000000000004,2.852130325814538
SBKP,2020-04-01T00:00:00Z,640,640,8093.2999999999975,6764.000000000002,1551.43,2.424109375
SBKP,2020-05-01T00:00:00Z,778,778,9580.300000000001,8621.299999999985,1486.7500000000002,1.9109897172236507
SBKP,2020-06-01T00:00:00Z,568,568,7513.500000000006,6094.499999999997,1753.9599999999998,3.0879577464788728
SBKP,2020-07-01T00:00:00Z,791,791,10935.900000000005,8650.09999999999,2581.6199999999985,3.2637420986093533
SBKP,2020-08-01T00:00:00Z,952,952,11679.200000000004,9712.599999999999,2480.850000000001,2.6059348739495807
SBKP,2020-09-01T00:00:00Z,1982,1982,24443.8,21226.300000000134,4116.369999999998,2.0768768920282534
SBKP,2020-10-01T00:00:00Z,3288,3288,43675.999999999956,35646.800000000374,9239.930000000006,2.810197688564479
SBKP,2020-11-01T00:00:00Z,3777,3777,52172.00000000013,41291.40000000014,12154.950000000024,3.2181493248610074
SBKP,2020-12-01T00:00:00Z,3959,3959,58325.500000000015,46450.99999999976,13113.679999999982,3.3123718110633953
SBKP,2021-01-01T00:00:00Z,4070,4070,58734.199999999975,47811.000000000095,12513.179999999973,3.074491400491394
SBKP,2021-02-01T00:00:00Z,3436,3436,45503.50000000012,38621.30000000021,8218.950000000004,2.3920110593713635
SBKP,2021-03-01T00:00:00Z,3645,3645,49318.49999999994,41674.20000000023,9056.600000000017,2.4846639231824463
SBKP,2021-04-01T00:00:00Z,3071,3071,35828.99999999999,31381.500000000433,5651.3400000000065,1.8402279387821578
SBKP,2021-05-01T00:00:00Z,3586,3586,45649.40000000002,39443.400000000074,7598.979999999996,2.119068600111544
SBKP,2021-06-01T00:00:00Z,3805,3805,48912.50000000007,41119.900000000176,9165.780000000024,2.4088777923784557
SBKP,2021-07-01T00:00:00Z,4187,4187,55326.200000000004,45633.799999999996,11028.699999999993,2.6340339144972518
SBKP,2021-08-01T00:00:00Z,4606,4606,59051.29999999992,48606.10000000021,12062.85000000001,2.618942683456363
SBKP,2021-09-01T00:00:00Z,4323,4323,56712.200000000084,45900.30000000022,12073.699999999988,2.7928984501503558
SBKP,2021-10-01T00:00:00Z,4543,4543,60926.59999999987,48371.300000000156,13821.730000000049,3.042423508694706
SBKP,2021-11-01T00:00:00Z,4550,4550,61129.99999999997,49029.9999999999,13405.359999999995,2.946232967032966
SBKP,2021-12-01T00:00:00Z,4617,4617,62060.70000000011,50143.90000000004,13450.93999999998,2.9133506606021182
SBKP,2022-01-01T00:00:00Z,3817,3817,54318.40000000009,44844.79999999984,10935.27999999999,2.864888656012573
SBKP,2022-02-01T00:00:00Z,4065,4065,54076.700000000026,44915.59999999998,10533.929999999993,2.5913726937269357
SBKP,2022-03-01T00:00:00Z,4747,4747,67392.20000000004,54846.29999999964,14202.12000000002,2.991809563935121
SBKP,2022-04-01T00:00:00Z,4927,4927,65114.39999999983,52593.1999999999,14060.050000000025,2.853673635072057
SBKP,2022-05-01T00:00:00Z,5414,5414,78500.80000000038,63198.59999999935,17287.79,3.193164019209457
SBKP,2022-06-01T00:00:00Z,4750,4750,62622.300000000076,52193.29999999999,12367.240000000002,2.6036294736842107
SBPA,2019-01-01T00:00:00Z,2800,2800,37048.30000000006,27975.7999999996,10423.11999999998,3.7225428571428503
SBPA,2019-02-01T00:00:00Z,2608,2608,38884.69999999992,26104.79999999962,13609.630000000001,5.218416411042945
SBPA,2019-03-01T00:00:00Z,2626,2626,38621.299999999945,26381.9999999996,13067.509999999993,4.976203351104338
SBPA,2019-04-01T00:00:00Z,2558,2558,37213.49999999994,24987.599999999667,12944.529999999986,5.0604104769351
SBPA,2019-05-01T00:00:00Z,2554,2554,36052.89999999994,24518.999999999774,12125.27,4.747560689115113
SBPA,2019-06-01T00:00:00Z,2493,2493,36155.19999999998,24932.499999999873,11708.309999999998,4.696474127557159
SBPA,2019-07-01T00:00:00Z,2855,2855,41000.9999999999,29025.099999999937,12690.129999999986,4.444879159369522
SBPA,2019-08-01T00:00:00Z,2857,2857,42439.99999999994,28201.700000000033,15511.780000000004,5.429394469723488
SBPA,2019-09-01T00:00:00Z,2753,2753,34820.900000000016,25955.600000000173,9794.859999999991,3.5578859426080607
SBPA,2019-10-01T00:00:00Z,2857,2857,38603.90000000009,26704.900000000147,13307.269999999986,4.657777388869438
SBPA,2019-11-01T00:00:00Z,2723,2723,31363.400000000034,23714.000000000226,8509.780000000008,3.12514873301506
