ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBKP,2020,ARR,LATE,3719,3719,34078,0.10913199131404425,LATE-10.9%
SBKP,2020,DEP,EARLY,760,760,34150,0.02225475841874085,EARLY-2.2%
SBKP,2020,DEP,EARLY_1505,7078,7078,34150,0.20726207906295754,EARLY_1505-20.7%
SBKP,2020,DEP,WITHIN_5,15801,15801,34150,0.4626939970717423,WITHIN_5-46.3%
SBKP,2020,DEP,LATE_0515,5423,5423,34150,0.15879941434846268,LATE_0515-15.9%
SBKP,2020,DEP,LATE,5088,5088,34150,0.14898975109809665,LATE-14.9%
SBKP,2021,ARR,EARLY,14008,14008,48521,0.28869973825766165,EARLY-28.9%
SBKP,2021,ARR,EARLY_1505,16109,16109,48521,0.3320005770697224,EARLY_1505-33.2%
SBKP,2021,ARR,WITHIN_5,9372,9372,48521,0.19315347993652232,WITHIN_5-19.3%
SBKP,2021,ARR,LATE_0515,3886,3886,48521,0.08008903361431133,LATE_0515-8%
SBKP,2021,ARR,LATE,5146,5146,48521,0.10605717112178233,LATE-10.6%
SBKP,2021,DEP,EARLY,662,662,49641,0.013335750689953869,EARLY-1.3%
SBKP,2021,DEP,EARLY_1505,10029,10029,49641,0.20203057956124978,EARLY_1505-20.2%
SBKP,2021,DEP,WITHIN_5,24500,24500,49641,0.49354364335931994,WITHIN_5-49.4%
SBKP,2021,DEP,LATE_0515,7799,7799,49641,0.15710803569629944,LATE_0515-15.7%
SBKP,2021,DEP,LATE,6651,6651,49641,0.133981990693177,LATE-13.4%
SBKP,2022,ARR,EARLY,8288,8288,28938,0.2864054184808902,EARLY-28.6%
SBKP,2022,ARR,EARLY_1505,9899,9899,28938,0.3420761628308798,EARLY_1505-34.2%
SBKP,2022,ARR,WITHIN_5,5432,5432,28938,0.1877116594097726,WITHIN_5-18.8%
SBKP,2022,ARR,LATE_0515,2060,2060,28938,0.07118667496025986,LATE_0515-7.1%
SBKP,2022,ARR,LATE,3259,3259,28938,0.11262008431819752,LATE-11.3%
SBKP,2022,DEP,EARLY,327,327,32766,0.009979857169016663,EARLY-1%
SBKP,2022,DEP,EARLY_1505,6271,6271,32766,0.1913874137825795,EARLY_1505-19.1%
SBKP,2022,DEP,WITHIN_5,16700,16700,32766,0.5096746627601783,WITHIN_5-51%
SBKP,2022,DEP,LATE_0515,4963,4963,32766,0.15146798510651285,LATE_0515-15.1%
SBKP,2022,DEP,LATE,4505,4505,32766,0.13749008118171274,LATE-13.7%
SBPA,2019,ARR,EARLY,5472,5472,32688,0.16740088105726872,EARLY-16.7%
SBPA,2019,ARR,EARLY_1505,9730,9730,32688,0.29766275085658345,EARLY_1505-29.8%
SBPA,2019,ARR,WITHIN_5,8225,8225,32688,0.25162139011257956,WITHIN_5-25.2%
SBPA,2019,ARR,LATE_0515,4132,4132,32688,0.12640724424865393,LATE_0515-12.6%
SBPA,2019,ARR,LATE,5129,5129,32688,0.15690773372491434,LATE-15.7%
SBPA,2019,DEP,EARLY,341,341,32762,0.010408399975581467,EARLY-1%
SBPA,2019,DEP,EARLY_1505,7958,7958,32762,0.24290336365301263,EARLY_1505-24.3%
SBPA,2019,DEP,WITHIN_5,12936,12936,32762,0.39484768939625176,WITHIN_5-39.5%
SBPA,2019,DEP,LATE_0515,5396,5396,32762,0.16470300958427447,LATE_0515-16.5%
SBPA,2019,DEP,LATE,6131,6131,32762,0.18713753739087968,LATE-18.7%
SBPA,2020,ARR,EARLY,3149,3149,14524,0.21681354998622968,EARLY-21.7%
SBPA,2020,ARR,EARLY_1505,4721,4721,14524,0.32504819608923163,EARLY_1505-32.5%
SBPA,2020,ARR,WITHIN_5,3363,3363,14524,0.23154778297989534,WITHIN_5-23.2%
SBPA,2020,ARR,LATE_0515,1499,1499,14524,0.10320848251170477,LATE_0515-10.3%
SBPA,2020,ARR,LATE,1792,1792,14524,0.12338198843293859,LATE-12.3%
SBPA,2020,DEP,EARLY,193,193,14534,0.01327920737580845,EARLY-1.3%
SBPA,2020,DEP,EARLY_1505,5372,5372,14534,0.3696160726572176,EARLY_1505-37%
SBPA,2020,DEP,WITHIN_5,5725,5725,14534,0.3939039493601211,WITHIN_5-39.4%
SBPA,2020,DEP,LATE_0515,1573,1573,14534,0.10822898032200358,LATE_0515-10.8%
SBPA,2020,DEP,LATE,1671,1671,14534,0.11497179028484932,LATE-11.5%
SBPA,2021,ARR,EARLY,3685,3685,18897,0.19500449806847647,EARLY-19.5%
SBPA,2021,ARR,EARLY_1505,6553,6553,18897,0.34677462031010214,EARLY_1505-34.7%
SBPA,2021,ARR,WITHIN_5,4518,4518,18897,0.2390855691379584,WITHIN_5-23.9%
SBPA,2021,ARR,LATE_0515,1961,1961,18897,0.10377308567497487,LATE_0515-10.4%
SBPA,2021,ARR,LATE,2180,2180,18897,0.11536222680848812,LATE-11.5%
SBPA,2021,DEP,EARLY,309,309,19180,0.01611053180396246,EARLY-1.6%
SBPA,2021,DEP,EARLY_1505,6633,6633,19180,0.34582898852971844,EARLY_1505-34.6%
SBPA,2021,DEP,WITHIN_5,7525,7525,19180,0.39233576642335766,WITHIN_5-39.2%
SBPA,2021,DEP,LATE_0515,2247,2247,19180,0.11715328467153285,LATE_0515-11.7%
SBPA,2021,DEP,LATE,2466,2466,19180,0.12857142857142856,LATE-12.9%
SBPA,2022,ARR,EARLY,2970,2970,14252,0.20839180465899523,EARLY-20.8%
SBPA,2022,ARR,EARLY_1505,5341,5341,14252,0.37475442043222,EARLY_1505-37.5%
SBPA,2022,ARR,WITHIN_5,3180,3180,14252,0.22312657872579286,WITHIN_5-22.3%
SBPA,2022,ARR,LATE_0515,1318,1318,14252,0.09247824866685378,LATE_0515-9.2%
SBPA,2022,ARR,LATE,1443,1443,14252,0.10124894751613808,LATE-10.1%
SBPA,2022,DEP,EARLY,216,216,15484,0.013949883750968742,EARLY-1.4%
SBPA,2022,DEP,EARLY_1505,5839,5839,15484,0.37709894084215967,EARLY_1505-37.7%
SBPA,2022,DEP,WITHIN_5,6035,6035,15484,0.3897571686902609,WITHIN_5-39%
SBPA,2022,DEP,LATE_0515,1539,1539,15484,0.09939292172565228,LATE_0515-9.9%
SBPA,2022,DEP,LATE,1855,1855,15484,0.11980108499095841,LATE-12%
SBRJ,2019,ARR,EARLY,6561,6561,41309,0.1588273741799608,EARLY-15.9%
SBRJ,2019,ARR,EARLY_1505,13246,13246,41309,0.3206565155293035,EARLY_1505-32.1%
SBRJ,2019,ARR,WITHIN_5,10098,10098,41309,0.2444503619066063,WITHIN_5-24.4%
SBRJ,2019,ARR,LATE_0515,5077,5077,41309,0.1229029993463894,LATE_0515-12.3%
