ICAO,MOF,N,N_VALID,TXIT,REF,ADD_TXIT,AVG_ADD_TXIT
SBRJ,2019-10-01T00:00:00Z,4117,4117,20859.200000000026,9559.399999999996,11782.880000000014,2.8620063152781183
SBRJ,2019-11-01T00:00:00Z,4060,4060,14442.499999999995,9191.200000000013,5635.929999999998,1.388160098522167
SBRJ,2019-12-01T00:00:00Z,4388,4388,21439.399999999998,10239.199999999959,11590.990000000014,2.641520054694625
SBRJ,2020-01-01T00:00:00Z,4567,4567,29207.400000000023,10857.199999999964,18856.379999999994,4.12883293190278
SBRJ,2020-02-01T00:00:00Z,4047,4047,15396.899999999998,9857.000000000015,5911.4000000000215,1.4606869285890836
SBRJ,2020-03-01T00:00:00Z,2898,2898,10217.599999999993,6862.700000000041,3631.6199999999985,1.2531469979296062
SBRJ,2020-04-01T00:00:00Z,378,378,1110.0000000000005,954.7999999999998,248.54000000000002,0.6575132275132276
SBRJ,2020-05-01T00:00:00Z,236,236,667.0000000000002,604.8999999999996,120.28999999999998,0.5097033898305083
SBRJ,2020-06-01T00:00:00Z,370,370,1130.999999999999,950.3999999999984,237.65999999999988,0.642324324324324
SBRJ,2020-07-01T00:00:00Z,613,613,1937.399999999999,1528.9999999999989,486.2500000000001,0.7932300163132139
SBRJ,2020-08-01T00:00:00Z,831,831,2661.9000000000024,2022.299999999998,767.4100000000003,0.9234777376654637
SBRJ,2020-09-01T00:00:00Z,1439,1439,4951.700000000001,3362.2000000000094,1698.4399999999978,1.1802918693537163
SBRJ,2020-10-01T00:00:00Z,2042,2042,6864.299999999995,4658.700000000023,2339.4600000000005,1.1456709108716947
