FIR,ano,mes,dia,mov
BRASIL,2017,12,24,2993
BRASIL,2017,12,25,3202
BRASIL,2017,12,26,4893
BRASIL,2017,12,27,5046
BRASIL,2017,12,28,5054
BRASIL,2017,12,29,4697
BRASIL,2017,12,30,3714
BRASIL,2017,12,31,3021
BRASIL,2018,1,1,3335
BRASIL,2018,1,2,4754
BRASIL,2018,1,3,4638
BRASIL,2018,1,4,4914
BRASIL,2018,1,5,4930
BRASIL,2018,1,6,3997
BRASIL,2018,1,7,3852
BRASIL,2018,1,8,4399
BRASIL,2018,1,9,4488
BRASIL,2018,1,10,4583
BRASIL,2018,1,11,4810
BRASIL,2018,1,12,4918
BRASIL,2018,1,13,4031
BRASIL,2018,1,14,3913
BRASIL,2018,1,15,4445
BRASIL,2018,1,16,4482
BRASIL,2018,1,17,4789
BRASIL,2018,1,18,4862
BRASIL,2018,1,19,4998
BRASIL,2018,1,20,4104
BRASIL,2018,1,21,4011
BRASIL,2018,1,22,4602
BRASIL,2018,1,23,4675
BRASIL,2018,1,24,4883
BRASIL,2018,1,25,5024
BRASIL,2018,1,26,4783
BRASIL,2018,1,27,3865
BRASIL,2018,1,28,4125
BRASIL,2018,1,29,4593
BRASIL,2018,1,30,4520
BRASIL,2018,1,31,4820
BRASIL,2018,2,1,4970
BRASIL,2018,2,2,5085
BRASIL,2018,2,3,3928
BRASIL,2018,2,4,3813
BRASIL,2018,2,5,4477
BRASIL,2018,2,6,4599
BRASIL,2018,2,7,4849
BRASIL,2018,2,8,4952
BRASIL,2018,2,9,5666
BRASIL,2018,2,10,4321
BRASIL,2018,2,11,2980
BRASIL,2018,2,12,3114
BRASIL,2018,2,13,3771
BRASIL,2018,2,14,4692
BRASIL,2018,2,15,4620
BRASIL,2018,2,16,4557
BRASIL,2018,2,17,3893
BRASIL,2018,2,18,3785
BRASIL,2018,2,19,4430
BRASIL,2018,2,20,4436
BRASIL,2018,2,21,4575
BRASIL,2018,2,22,4881
BRASIL,2018,2,23,4932
BRASIL,2018,2,24,3954
BRASIL,2018,2,25,3629
BRASIL,2018,2,26,4507
BRASIL,2018,2,27,4697
BRASIL,2018,2,28,4766
BRASIL,2018,3,1,4937
BRASIL,2018,3,2,4868
BRASIL,2018,3,3,3792
BRASIL,2018,3,4,3564
BRASIL,2018,3,5,4550
BRASIL,2018,3,6,4589
BRASIL,2018,3,7,4615
BRASIL,2018,3,8,4684
BRASIL,2018,3,9,5092
BRASIL,2018,3,10,4004
BRASIL,2018,3,11,3796
BRASIL,2018,3,12,4774
BRASIL,2018,3,13,4770
BRASIL,2018,3,14,4784
BRASIL,2018,3,15,5060
BRASIL,2018,3,16,5224
BRASIL,2018,3,17,4036
BRASIL,2018,3,18,3824
BRASIL,2018,3,19,4671
BRASIL,2018,3,20,4696
BRASIL,2018,3,21,4636
BRASIL,2018,3,22,5028
BRASIL,2018,3,23,5185
BRASIL,2018,3,24,3935
BRASIL,2018,3,25,3640
BRASIL,2018,3,26,4435
BRASIL,2018,3,27,4490
BRASIL,2018,3,28,4895
BRASIL,2018,3,29,5433
BRASIL,2018,3,30,3831
BRASIL,2018,3,31,2884
BRASIL,2018,4,1,4288
BRASIL,2018,4,2,4680
BRASIL,2018,4,3,4704
BRASIL,2018,4,4,4755
BRASIL,2018,4,5,5081
BRASIL,2018,4,6,5039
BRASIL,2018,4,7,3940
BRASIL,2018,4,8,3697
BRASIL,2018,4,9,4658
BRASIL,2018,4,10,4760
BRASIL,2018,4,11,4961
BRASIL,2018,4,12,5033
BRASIL,2018,4,13,5032
BRASIL,2018,4,14,3777
BRASIL,2018,4,15,3366
BRASIL,2018,4,16,4462
BRASIL,2018,4,17,4601
BRASIL,2018,4,18,4859
BRASIL,2018,4,19,5106
BRASIL,2018,4,20,5248
BRASIL,2018,4,21,3998
BRASIL,2018,4,22,3871
BRASIL,2018,4,23,4778
BRASIL,2018,4,24,4833
BRASIL,2018,4,25,4835
BRASIL,2018,4,26,5174
BRASIL,2018,4,27,5686
BRASIL,2018,4,28,4451
BRASIL,2018,4,29,3262
BRASIL,2018,4,30,3761
BRASIL,2018,5,1,4796
BRASIL,2018,5,2,4822
BRASIL,2018,5,3,5101
BRASIL,2018,5,4,5306
BRASIL,2018,5,5,4090
BRASIL,2018,5,6,3680
BRASIL,2018,5,7,4537
BRASIL,2018,5,8,4739
BRASIL,2018,5,9,4770
BRASIL,2018,5,10,5080
BRASIL,2018,5,11,5145
BRASIL,2018,5,12,4044
BRASIL,2018,5,13,3801
BRASIL,2018,5,14,4760
BRASIL,2018,5,15,4671
BRASIL,2018,5,16,4787
BRASIL,2018,5,17,4934
